
============================================================
Тестирование BTCUSDT
============================================================
[BB-Donchian] СИГНАЛ LONG по цене 75047.10, стоп 74290.30, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 77736.70, стоп 79339.23, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 74919.00, стоп 74024.73, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 73765.80, стоп 72662.17, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 74598.80, стоп 73688.53, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 76294.80, стоп 75504.97, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 77492.00, стоп 78507.00, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 79224.10, стоп 80763.50, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 78139.50, стоп 79690.80, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 78214.30, стоп 77373.13, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 77287.00, стоп 76841.33, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 77591.40, стоп 77144.73, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 77356.10, стоп 76909.43, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 78069.30, стоп 78432.53, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 77558.20, стоп 78347.27, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 76193.30, стоп 75064.60, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 75888.30, стоп 75141.93, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 78156.90, стоп 77547.93, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 80279.50, стоп 81082.17, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 80839.00, стоп 81803.53, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 82486.40, стоп 83521.50, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 80807.20, стоп 80082.87, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 80185.20, стоп 79334.87, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 80628.00, стоп 81142.97, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 81376.40, стоп 81815.40, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 80695.70, стоп 81451.47, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 80459.80, стоп 79690.63, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 81214.20, стоп 80445.03, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 78792.50, стоп 77787.87, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 79608.60, стоп 78748.27, риск 3.0%
[BB-Donchian] СИГНАЛ SHORT по цене 81244.00, стоп 82104.33, риск 3.0%
[BB-Donchian] СИГНАЛ LONG по цене 79120.20, стоп 77990.53, риск 3.0%

=== РЕЗУЛЬТАТЫ БЭКТЕСТА ===
Период: 2025-11-21 – 2026-05-20 (180 дн.)
Начальный баланс: 1000.00 USDT
Конечный баланс: 10704.36 USDT
Общая доходность: 970.44%
Годовая доходность (CAGR): 12138.27%
Всего сделок: 133
Прибыльные сделки: 76
Убыточные сделки: 57
Средний PnL на сделку: 72.97 USDT

Сохранено 133 сделок для BTCUSDT в backtest_BTCUSDT.csv

============================================================
Тестирование ETHUSDT
============================================================
[BB-Donchian] СИГНАЛ SHORT по цене 3030.99, стоп 3125.22, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3071.98, стоп 3153.76, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2989.61, стоп 3035.49, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3035.80, стоп 3122.31, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3136.66, стоп 3241.87, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3058.08, стоп 3163.13, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3109.38, стоп 3203.59, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3244.20, стоп 3359.93, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3155.95, стоп 3236.22, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 3009.02, стоп 2918.42, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2989.67, стоп 3071.60, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3047.68, стоп 3099.26, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2962.94, стоп 2917.36, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2927.14, стоп 2867.63, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2959.75, стоп 3023.13, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2902.00, стоп 2844.70, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2963.47, стоп 2914.32, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2947.64, стоп 2982.73, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2932.02, стоп 2967.11, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3042.52, стоп 3095.69, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3046.18, стоп 3090.83, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3184.48, стоп 3263.06, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3155.75, стоп 3232.84, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3295.88, стоп 3366.57, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 3163.31, стоп 3099.31, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3104.00, стоп 3139.96, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3133.66, стоп 3172.13, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 3093.53, стоп 3057.74, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 3114.88, стоп 3079.09, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3183.07, стоп 3224.56, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3214.72, стоп 3266.15, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 3262.43, стоп 3168.43, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 3282.26, стоп 3242.85, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 3210.36, стоп 3145.16, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2979.23, стоп 3050.23, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 3024.65, стоп 3107.57, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2928.19, стоп 2862.51, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2027.28, стоп 1929.27, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1947.08, стоп 1863.02, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2010.34, стоп 1939.55, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2017.32, стоп 2075.92, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 1980.13, стоп 2038.73, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1940.00, стоп 1891.52, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1954.81, стоп 1916.21, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1925.19, стоп 1882.21, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 1976.48, стоп 2020.77, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1952.87, стоп 1922.49, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1957.04, стоп 1926.66, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 1905.51, стоп 1969.96, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1961.01, стоп 1843.68, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2054.02, стоп 2116.28, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 1946.32, стоп 1864.54, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 1976.50, стоп 2039.88, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2021.39, стоп 2079.08, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2117.73, стоп 2171.24, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2118.77, стоп 2182.31, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2177.38, стоп 2232.36, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2267.87, стоп 2167.98, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2083.26, стоп 2028.11, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2133.27, стоп 2192.08, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2185.23, стоп 2244.04, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2122.32, стоп 2063.51, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 1993.56, стоп 2066.80, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2035.31, стоп 2083.18, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2058.81, стоп 2105.48, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2095.46, стоп 2158.48, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2035.87, стоп 1988.15, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2109.53, стоп 2143.87, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2128.60, стоп 2170.73, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2252.15, стоп 2323.84, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2315.22, стоп 2372.74, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2283.87, стоп 2341.39, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2260.84, стоп 2312.60, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2440.51, стоп 2498.83, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2262.24, стоп 2191.05, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2285.16, стоп 2213.97, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2326.19, стоп 2285.09, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2362.39, стоп 2405.47, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2330.24, стоп 2362.84, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2335.08, стоп 2360.09, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2366.51, стоп 2397.18, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2393.51, стоп 2428.97, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2310.52, стоп 2359.66, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2232.46, стоп 2170.87, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2281.96, стоп 2324.52, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2300.82, стоп 2339.08, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2318.68, стоп 2356.63, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2327.19, стоп 2360.35, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2383.94, стоп 2430.54, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2409.71, стоп 2452.14, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2357.53, стоп 2318.51, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2320.99, стоп 2282.25, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2293.72, стоп 2247.19, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2331.21, стоп 2380.92, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2346.94, стоп 2375.88, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2364.46, стоп 2398.94, риск 2.0%
[BB-Donchian] СИГНАЛ SHORT по цене 2329.50, стоп 2368.95, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2307.96, стоп 2278.12, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2260.70, стоп 2218.28, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2235.39, стоп 2185.64, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2255.63, стоп 2205.88, риск 2.0%
[BB-Donchian] СИГНАЛ LONG по цене 2221.67, стоп 2181.95, риск 2.0%

=== РЕЗУЛЬТАТЫ БЭКТЕСТА ===
Период: 2025-11-21 – 2026-05-20 (180 дн.)
Начальный баланс: 1000.00 USDT
Конечный баланс: 12755.06 USDT
Общая доходность: 1175.51%
Годовая доходность (CAGR): 17361.38%
Всего сделок: 102
Прибыльные сделки: 60
Убыточные сделки: 42
Средний PnL на сделку: 115.25 USDT

Сохранено 102 сделок для ETHUSDT в backtest_ETHUSDT.csv

============================================================
Тестирование SOLUSDT
============================================================
[BB-Donchian] СИГНАЛ SHORT по цене 139.83, стоп 144.25, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 136.78, стоп 141.00, риск 1.5%
[BB-Donchian] СИГНАЛ LONG по цене 133.36, стоп 129.88, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 135.81, стоп 140.17, риск 1.5%
[BB-Donchian] СИГНАЛ SHORT по цене 124.56, стоп 126.36, риск 1.5%
